Name,Ward,Address,Landline Nos.,Class from,Class to,School Type,Website,Email,BMC Dept.,Twitter Handle,Direction,
TIRANDAZ HINDI,S-WARD,opp. I.I.T Main gate powai,022-0,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220100120,tirandajns@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.123506999967,72.9167169999321",
POWAI MUN MAR 1,S-WARD,NCH COLONY L.B.S.MARG KANJNURMARG W 400078,022-0,1,8,3-Co-educational,,powaimarathi1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.133050000798,72.9242219998957",
POWAI MUN HINDI 1,S-WARD,"NCH Dockyard Colony, LBS Road, Kanjurmarg West, Mumbai 400078.",022-0,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220600131,powaihindi9661@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1329769995357,72.9245780007162",
POWAI MUN HINDI 2,S-WARD,NEVAL DOCKYARD COLONY L B S MARG BHANDPUP,022-0,1,8,3-Co-educational,,powaidockyardhind.2@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1323939995221,72.9243320002947",
POWAI MUN ENG UP,S-WARD,"LBS , MARG , NAVAL DOCKYARD COLONY KANJURMARG WEST MUMBAI",022-0,1,8,3-Co-educational,,powaienglish.9740@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.132968000567,72.9245589999938",
POWAI MUN URDU,S-WARD,"NEVAL CIVILIAN HOUSING COLONY, L.B.S. ROAD, KANJUMARG WEST MUMBAI-400078",022-25775441,1,8,3-Co-educational,,powaiurdu12@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1324210005651,72.9243379999735",
POWAI SEC MARATHI,S-WARD,"LBS ROAD NEAR HUMA CINEMA NCHC COLONY ,KANJURMARM",022-0,9,10,3-Co-educational,,spawaidockcolony.mar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1326760003151,72.9241819999399",
POWAI SEC HINDI,S-WARD,"NCH Colony, LBS Road, kanjurmarg w -78",022-0,9,10,3-Co-educational,,spawaidockcolony.hindi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1325220006726,72.9243620007069",
POWAI SEC ENGLISH,S-WARD,"NAVAL DOCKYARD COLONY, KANJURMARG WEST",022-0,9,10,3-Co-educational,education.maharashtra.gov.in/saral/27220600139,spawaidockcolony.eng@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1397299996312,72.9303549996595",
TAGORE NAGAR MUN MAR 1,S-WARD,"TAGORE NAGAR GROUP NO.1,NEAR OLD POST OFFICE VIKHROLI EAST MUMBAI 400083",022-0,0,8,3-Co-educational,education.maharashtra.gov.in/saral/27220600146,tmarathi1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1150179995416,72.9309340002084",
TAGORE NAGAR MUN UP HINDI 1,S-WARD,"Tagore Nager Group no.1,vikhroli east 400083",022-0,0,8,3-Co-educational,,tambeshubhada@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1150019998873,72.931141999986",
TAGORE NAGAR MUN HINDI2,S-WARD,"Tagore Nagar, Group No. 1, Nr. Old Post Office, Vikhroli, Mumbai - 83",022-25745438,1,8,3-Co-educational,,yadavgeeta3110@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1149229998855,72.9311310000456",
TAGORE NAGAR MUN URDU SCHOOL,S-WARD,tagore nagar mun urdu school,022-25745446,1,8,3-Co-educational,,tagorenagarbmcurduschool@gmai.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1149690000864,72.9310710005864",
TAGORE NAGAR MNP GUJRATI,S-WARD,"tagore nagar marathi school no 1, Tagore Nagar No 1,Near old post office, Vikhroli -east 400083",022-0,1,8,3-Co-educational,,manishachokshi23@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1149460003255,72.9311129995564",
TAGORE NAGAR MNP KANNAD,S-WARD,Vikhroli east Mumbai,022-25745436,1,8,3-Co-educational,,tagorenagarkannada@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1150179995485,72.931051999912",
KANNAMWAR NAGAR MNP TELUGU,S-WARD,"Kannamwarnagar -1,Vikhroli",022-26509716,1,8,3-Co-educational,,rajani.gunda14@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1146130001768,72.9370130002414",
KANNAMWAR NAGAR MNP UP MARATHI,S-WARD,kannamwarnagar NO1 vikhroli mumbai 400083,022-0,1,8,3-Co-educational,,kannamwarnagarmar1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1145209998679,72.9369990000581",
KANNAMWAR NAGAR MNP HINDI,S-WARD,kannamwar nagar no 1 vikhroli east mumbai 400083,022-25795469,1,8,3-Co-educational,,kannamwar9665@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1147120004146,72.9370229993438",
KANAMWAR NAGAR MNP GUJ,S-WARD,Kannmwarnager no 1 Vikhroli east,022-25795429,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220600168,kannamwar9701@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1146499997297,72.9370849994203",
TAGORE NAGAR UP MAR 3,S-WARD,TAGORENAGAR GROUP NO 6 NEAR SHANIMANDIR VIKHROLI EAST MUMBAI83,022-0,1,8,3-Co-educational,,tagore.mar9640@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1212830004218,72.9333150008404",
KANJUR VIHILAGE MNP MAR,S-WARD,OPPOSITE ST.FRANCIS XEVIER CHURCH KANJURGAON BHANDUP EAST,022-0,1,8,3-Co-educational,,kangankarjaya@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1344060002855,72.9382579997716",
BHANDUP VILLAGE UP MARMNP,S-WARD,VEER SAVARKA MARG BHANDUP EAST,022-25667031,1,8,3-Co-educational,,bmc.bhandupvillage@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1505589999619,72.9445270005877",
NEHRU NAGAR MNP KANJUR HINDI,S-WARD,NEHRU NAGAR KANJUR HINDI BMC SCHOOL,022-25775498,1,7,3-Co-educational,,nehrunagarkanjur@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1295499997194,72.9367290001574",
NEHARUNAGAR MUMBAI PUBLIC SCHOOL,S-WARD,NEHRUNAGAR KANJURMARG EAST,022-0,1,10,3-Co-educational,,nehrungrmps@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1295569999681,72.9368229999088",
MVR SHINDE MARG MNP UP MAR,S-WARD,MVR.SHINDE MARG MNP UP SCHOOL ISHVARANAGAR BHANDUP WEAST,022-0,1,8,3-Co-educational,,Prema9615@gmil.com,Education Dept,@mybmcedu,https://www.google.com/maps/search/?api=1&query=19.1436,
GAIBAN SHAH DARGAH MUN URDU SCHOOL,T-WARD,GAIBANSHAH DARGAH MUN URDU SCHOOL KHINDIPADA MULUND WEST 400082,022-0,1,8,3-Co-educational,,gaibanshahdargah.urdu@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1665880000447,72.9280400000348",
MULUND CAMP MUN UP GUJ,T-WARD,Mulund colony mulund west,022-0,2,7,3-Co-educational,,mulundcamp.guj@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.175049999979,72.9365609996849",
MULUND CAMP MUN UP ENG,T-WARD,NR.JULELAL MANDIR MULUND COLONY SHIVAJI CHOWK MULUND WEST,022-25625523,1,8,3-Co-educational,,mcampenglish@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1752580001492,72.9366030004986",
MULUND MUN SEC SCHOOL,T-WARD,Near kalidas Natygruha P.K. Road Mulund West Mumbai 80,022-0,8,10,3-Co-educational,,pkroadsec@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1739060006579,72.9498009998592",
GURU GOVIND SINGH MARG MARATHI SECONDARY,T-WARD,"PAWAI CHOWK, MULUND COLONY, MULUND WEST",022-0,9,10,3-Co-educational,,gurugovindsingmarathisec@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1748269995483,72.934820000052",
VINA NAGAR MUN MAR SEC SCH,T-WARD,"VEENANAGAR MUN. MARATHI SECONDARY SCHOOL, NEAR SWAPNNAGARI ,SAPTARSHI PARK,MULUND W MUNMBAI-80",022-21640117,9,10,3-Co-educational,,veenanagarmarathisec@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1825780000248,72.9432519997782",
GURU GOVIND SINGH MARG BMC HINDI SECONDARY,T-WARD,MULUND COLONY PAWAI CHAWK MULUND W,022-0,9,10,3-Co-educational,education.maharashtra.gov.in/saral/27220600327,gurgovindhindihighschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1734770006405,72.9343639997794",
P.K ROAD MUMBAI PUBLIC SCHOOL,T-WARD,NEXT TO KALIDAS AUDITORIUM MULUND WEST,022-0,1,10,3-Co-educational,,pkroadmpsbmc@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1742250000077,72.9498169997894",
NAHUR MUN UP MAR,T-WARD,Nahur B.M.C. School J.N.Road Mulund west,022-0,1,8,3-Co-educational,,nahurmarathi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1703539999999,72.9488760007418",
GOSHLA MUN UP MAR 1,T-WARD,"Goshala road,mulund west,Mumbai 400080",022-25640437,1,8,3-Co-educational,,goshalam1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1680199992137,72.9490490002254",
SEWARAM LALWANI MG MUN HINDI,T-WARD,RRT road ratanbai bmc school,022-0,0,8,3-Co-educational,,slroadhindi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1709069994591,72.9524010004495",
GOSHALA UP MUN ENG,T-WARD,GOSHALA RD.MUN.SCHOOL OPP.LIJJAT PAPAD MULUND WEST400080,022-0,1,8,3-Co-educational,,goshalaupseng@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1679709999012,72.9491680005514",
SEVARAM LALWANI MG UP TAMIL,T-WARD,"bhaji market road, mulund west",022-25625031,1,8,3-Co-educational,,slrdtamil99@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1709030005078,72.9524950001342",
SEVARAM LALVANI MG MUN UP TEL,T-WARD,"opposit Vijay Nagar Garden, S.L. Road,Mulund West",022-0,1,8,3-Co-educational,,sltelugu1234@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1709010002763,72.9524340000896",
GOSHALA MARG MUN. M.R. SCHOOL,T-WARD,Goshala Marg Vishseh Mulanchi Shala Goshala Road Mulund Mumbai,022-25648524,1,5,3-Co-educational,,goshalamr23@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1679980007606,72.9491640000084",
GOSALA NEW SEC. MARATHI,T-WARD,GOSHALA MARG MUN SEC MARATHI SCHOOL MULUND WEST,022-0,9,10,3-Co-educational,,goshalamargsec@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1680239998208,72.9490189993022",
GOSHALA MARG MPS ENGLISH,T-WARD,"GOSHALA ROAD ,MULUND WEST,MUMBAI 400080",022-25610013,1,8,3-Co-educational,,goshalamps@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1679039997434,72.9491949994879",
GOSHALA SEC ENGLISH,T-WARD,GOSHALA ROAD MULUND WSET MUMBAI,022-0,9,10,3-Co-educational,education.maharashtra.gov.in/saral/27220600361,goshalaseceng@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1679950003464,72.949015999688",
SEWARAM LALWANI SEC TELGU,T-WARD,"opposite Vijay Nagar Garden, S.L.Road, Mulund West",022-0,9,10,3-Co-educational,education.maharashtra.gov.in/saral/27220600362,sltelugusec@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1697429997858,72.9523169997769",
GAWADE VINZE YOJANA MUN MARATHI,T-WARD,G V SCHEME ROAD NO 4 MULUND EST MUMBAI 400081,022-21633981,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220600367,gvmarathimks@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1695699997244,72.960052000697",
MITHAGHAR MARG MUN U.P MARATHI SCHOOL,T-WARD,MITHAGAHAR MARG MUN. MARATHI SCHOOL MULUND,022-21630265,1,8,3-Co-educational,,mithagarmarathi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1629299992091,72.9545419996922",
GAWDE VINZE SCHEME MUN UP HINDI,T-WARD,g.v.scheme lane no.2 near hanuman chauk mulund east Mumbai 400081,022-21636845,1,8,3-Co-educational,,gvshindi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1693270000552,72.959702999859",
G.V SCHEME MUN GUJARATHI SCHOOL,T-WARD,G.v scheme Gujarati school. Mulund east,022-21637846,1,8,3-Co-educational,,gvschemeguj@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1695580000286,72.9600049999803",
MITHAGAR MPS ENG,T-WARD,school is shifted to gavanpada mun school due to construction,022-21630265,1,10,3-Co-educational,,mithagarmargmps@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1632680000668,72.9536569998209",
NAVGHAR MUN HINDI LP,T-WARD,"NAVGHAR LANE-2,MULUND-EAST, MUMBAI-400081",022-0,1,8,3-Co-educational,,navgharhindi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1659949999893,72.9623830003733",
NAVGHAR MARG MUN MARATAHI SCHOOL,T-WARD,2nd lane navghar road Mulund east 400081,022-21637127,1,8,3-Co-educational,,navgharmarathischool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1660309998741,72.9623159993026",
GAVHANPADA MUN UP MAR,T-WARD,Gavhanpada mun mar school Mahatma Fule Road Mulund,022-21634692,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220600385,gavanpada.m@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1738430003238,72.9636780006743",
NAVGHAR HINDI SEC,T-WARD,Navghar Hindi secondary school Mulund East 400081,022-21630162,9,10,3-Co-educational,education.maharashtra.gov.in/saral/27220600388,navgharhindisec@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1659469998501,72.9624609999231",
L.B.S MUN U.P MARATHI NO 1,T -WARD,MULUND CHECKNAKA LBS ROAD MULUND WEST,022-21646826,1,8,3-Co-educational,,lbsmarathi1i@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1843039992861,72.9535870004074",
DINDAYAL UPADHYAY MG MUN MARATHI,T -WARD,D D U MARG OPP PLATINUM HOSPITAL NEAR CHECK NAKA MULUND WEST MUMBAI,022-0,1,8,3-Co-educational,,ddumarathi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1823280004143,72.9533420007579",
L.B.S MARRG MUN U.P HINDI SCHOOL,T -WARD,LBS ROAD CHEKNAKA MULUND WEST,022-21640224,1,8,3-Co-educational,,lbshindi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1842580002825,72.953338000619",
DINDYAL UPADHAYAY MARG MUN HINDI,T -WARD,DINDAYAL UPADHDYAY MARG MULUND WESTWEST,022-25917140,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220600406,dduhindischool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1823359993634,72.9533400005431",
D.D UPADHAYAYE MARG MUNCIPAL URDU U.P,T -WARD,DUMPING ROAD MULUND MUMBAI,022-25626076,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220600407,dduurdu@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1822970001444,72.9534329999584",
DINDAYAL UPADHYAY MARG MUN KANNAD SCHOOL,T -WARD,D D U MARG NEAR CHECK NAKA OPP PLATINUM HOSPITAL MULUND WEST 400080,022-0,1,7,3-Co-educational,,ddukann1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1822549999263,72.9533770000301",
DHAMANGAON MUN UP MAR,T -WARD,DHAMANGAON MARATHI SCHOOL BHIWANDI AGRAPATH THANE,022-0,1,8,3-Co-educational,,dhamangaonmarathi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.3359380001424,73.1056840003924",
TANSA UP MUN MAR,T -WARD,AT ANDPOST-TANSA.TAL-SHAHAPUR.DIST-THANE PIN-421601,022-0,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220600411,12tansa@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.5462950001063,73.2610970004113",
MODAKSAGAR MUN UP MAR,T -WARD,AT AND POST-VAITARNA TAL-SHAPUR DIST-THANA PIN 421304,022-0,1,8,3-Co-educational,,modaksagar.bmc@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.6570710004135,73.2988990002496",
D.D.UPADHAYA MARG MPS,T -WARD,"Deendayal Upadhyay Marg, Mulund West",022-0,1,9,3-Co-educational,,ddumumbaipublicschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1822600001433,72.9533130001776",
MULUND CAMP MUN SEC ENGLISH,T -WARD,"MULUND COLONY,SHIVAJI CHOWK,GURU GOVIND SINGH MARG,MULUND WEST",022-0,9,10,3-Co-educational,education.maharashtra.gov.in/saral/27220600423,mcampenglishsec@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1752020001796,72.9373499998816",
DINDAYAL UPADHYAY MARG MUN.URDU SEC. SCH,T -WARD,Dumping road mulund west,022-0,9,10,3-Co-educational,,ddurdusec@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1752020001796,72.9373499998816",
RAMABAI SAHAKAR NGR HINDI MUN,N WARD,"Rambai sahakar nagar,ambedkar statue near express highway near ghatkopar east mumbai",022-0,1,8,3-Co-educational,education.maharashtra.gov.in,satishram2469@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0815649998931,72.9176439995567",
RAMABAI SAHAKAR NGR MUN UP 1 M,N WARD,Ramabai nagar near estern express highway ghatkopar east,022-0,1,8,3-Co-educational,education.maharashtra.gov.in,pramilazole70@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0778720002102,72.9170389994683",
RAMABAI SAHAKAR NGR MUN UP 2M,N WARD,"RAMABAI NAGAR, ESTERN EXPRESS HIGH WAY, GHATKOPAR EAST MUMBAI 400075",022-0,1,8,3-Co-educational,,ramabaimar2@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0775860002604,72.9172559997213",
RAMABAI SAHAKAR NGR MUN UP 3 M,N WARD,"Ramabai Shakar Nagar, Ghatkoper East,Mumbai 400075",022-0,1,8,3-Co-educational,,shobhajamghare@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0785469996777,72.9169790000973",
KAMRAJ NGR MUN MAR,N WARD,"V. N. Marg. Kamrajnagar Ghatkopar , east , Mumbai-400077",022-0,1,8,3-Co-educational,www.education.maharashtra.gov.in,bhangechhaya@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0720960001865,72.9148180003971",
KAMRAJ NGR MUN HINDI,N WARD,"Kamraj Nagar ,Ghatkpar East, Mumbai400077",022-0,0,7,3-Co-educational,,kamrajnagarhindi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0720959995527,72.9148090007565",
RAMABAI SAH NGR MUN URDU,N WARD,"RAMABAI COLONY, GHATKOPAR EAST",022-25250163,1,8,3-Co-educational,www.education.maharashtra.gov.in,ramabaiurdu@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0781649996601,73.9171140000495",
RAMABAI S. NAGAR URDU NEW SEC,N WARD,RAMABAI SAHAKAR NAGAR GHATKOPAR E MUMBAI 400075,022-0,9,10,3-Co-educational,,ramabai.m.u.s.s@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0775999998695,72.9174410007554",
TILAK MG MUN MARATHI,N WARD,Tilak Road Ghatkopar East N Ward,022-0,1,8,3-Co-educational,education.maharashtra.gov.in,tilammarg9377@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.075949000744,72.9056530000489",
TILAK MG MUN HINDI UP,N WARD,"vikrant circle ,tilak road,near ashirwad hospital,mumbai400077",022-0,1,8,3-Co-educational,,tilakmarghindi123@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0758470000909,72.9056079996861",
RAJAWADI MUN HINDI,N WARD,Mumbai Suburban Urc-7 Ghatkopar Rajawadi Mun Hindi N Ward Maharashtra India 400077,022-0,1,8,3-Co-educational,,surekhamishra16@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0858540004354,72.9139300006055",
RAJAWADI MUN SEC SCHOOL,N WARD,KHOT GALI JAYANTILAL VAINAV MARG GHATKOPER WEST,022-25100524,9,10,3-Co-educational,,rajawadisecondary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0874829997808,72.9074560004483",
"MPS RAJAWADI SCH, GHATKOPAR",N WARD,"Rajawadi MPS, Dhanji Devshi BMC bldg, Opp Jain Mandir, Patel Chawk, Ghatkopar- East, Mumbai- 77.",022-0,1,10,3-Co-educational,,nitinbargaje112@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0811829997052,72.9088930004738",
JAI MAHARAHSTRA GANESH M MAR 1,N WARD,JAIMAHARASHTRA GANESH MAIDAN PARSIWADI GHATKOPAR WEST,022-0,1,8,3-Co-educational,,jaymahagmschool1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0897229993463,72.9019450002251",
JAI MAHARAHSTRA GANESH M MAR 2,N WARD,PARSI WADI CHIRAG NAGAR GANESH MAIDAN GHATKOPAR WEST,022-0,1,8,3-Co-educational,education.maharashtra.gov.in,jaymaha80@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0888190000857,72.900144000805",
JAI MAHARAHSTRA GANESH M HINDI,N WARD,PARSIWADI GJHATKOPAR WEST,022-25119365,1,8,3-Co-educational,education.maharashtra.gov.in/saral/27220700140,hindijay85@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0920960006708,72.9017230002498",
JAI MAHARAHSTRA GANESH M URD,N WARD,"Ganesh Maidan ,Parciwadi,Ghatkopar West",022-0,1,8,3-Co-educational,,jmgmcgmurduschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0887289995976,72.9002400006519",
JAI MAHRASHTRA MARATHI NEW SEC.,N WARD,"jay maharashtra mun.marathi school,ganesh maidan parshivadi ghatkoper west",022-0,9,10,3-Co-educational,,arvindpawar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0888439997419,72.9001319999596",
BARVE NGR MAR MUN 4,N WARD,BARVENAGAR MUN MARATHI SCHOOL NO 4 GHATKOPAR W MUMBAI 84,022-25666260,1,4,3-Co-educational,,barvenagar4@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0979729998512,72.9053020000057",
S G BARVE NGR HINDI MUN,N WARD,BARVENAGAR SCHOOL BUILDING NO. 3 BHATWADI BARVENAGAR GHATKOPAR WEST MUMBAI 400084,022-0,1,4,3-Co-educational,www.education.maharashtra.gov.in,barvenagarhindi2722@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.4064380003506,73.2693420004157",
JAYANTILAL V MG MAR 1,N WARD,"khot gully J V M Road, Bhaji market Ghatkoper west",022-0,1,8,3-Co-educational,,ashwinibhalerao1313@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0874930000265,72.90748900056",
JAYANTILAL V MG MUN MAR 2,N WARD,KHOT GALLI GHATKOPAR WEST,022-25091019,1,8,3-Co-educational,,supriyabhandare1964@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0873669996199,72.9074150005251",
JAYANTILAL V MG MUN HINDI UP,N WARD,"khot lane ,near Metro station ,Ghatkopar west.",022-0,1,8,3-Co-educational,,jvmh1959@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.8735670002814,72.9073639993327",
MANIKLAL MEHTA MUN HINDI,N WARD,"MANIKLAL MEHATA COMPOUND,S.N.MEHTA MARG GHATKOPAR WEST MUMBAI 400086",022-0,1,8,3-Co-educational,udiseplus.gov.in,pandeygayatri145@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0897389997719,73.9026770004368",
MANIKLAL MEHTA MUN URD,N WARD,Narshi mehta road Ghatkoper west,022-0,1,8,3-Co-educational,,maniklalurdu@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0894089999945,72.9028619995218",
MPS MANEKLAL MEHTA,N WARD,narsee mehta marg ghatkopar west,022-0,1,10,3-Co-educational,,mmmps9478@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0898480004237,72.9034999992296",
JAYANTILAL V MG NEW SEC HINDI SCH,N WARD,KHOT GALLI BHAJI MARKET GHATKOPAR WEST 400086,022-0,9,10,3-Co-educational,,njayantilalmargmsshinno1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0872099994522,72.907321999331",
MANIKLAL MEHTA MUN NEW SEC URDU SCH,N WARD,maneklal compound narseeh mehta marg ghatkopar,022-0,9,10,3-Co-educational,,nmaniklalmehta.urdu@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.089447999305,72.9029019997257",
MANIKLAL NEW SEC HINDI SCH,N WARD,"MANIKLAL COMPOUND , NARSEE MEHTA , GHATKOPAR WEST , MUMBAI-86",022-0,9,10,3-Co-educational,,maniklalmehta432@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0897359998699,72.9028479999205",
